channel_name,channel_id,video_url,video_title,views,likes,comments
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=3ddmEn-Rg3M,Budget 2025 for Middle Class � Zero Tax upto ?12.75 Lakhs | Income Tax Slabs for FY 2025-26,221420,4823,297
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=qsxFm6S_GFQ,Pay ZERO Tax in 2025 with New Regime � Updated Income Tax Saving and Tax Planning Guide,146974,2453,125
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=M2xf6wHfQOc,Vishal Mega Mart IPO In-Depth Analysis & Complete Details,41477,992,57
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=Mtr9XvXOkMw,"Rights Issue Complete Guide � What is Rights Issue, Rights Entitlement and How to Apply?",52451,1434,94
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=DM2hbZG9Hhs,Stocks' Themes for 2025 | How to invest in Stock Market in 2025?,36152,1757,278
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=AGSsP96Nzqw,Mutual Funds SIP vs Stocks SIP - Which is a better Systematic Investment Plan? Stock SIP ???? ?????,263905,7266,324
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=UW03yBYvZ9Q,Zero AMC Demat Account from Sep 2024 - Basic Services Demat Account (BSDA) Explained,24106,875,68
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=gXzPnPDiutk,How Many Mutual Funds should I have in my portfolio?,142737,4182,230
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=dbKE6pBFoQM,"New Tax Rules for Stock Market Income & Mutual Funds Explained - Capital Gains Tax, STT in 2024",148188,5796,432
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=2U5P74RF8oI,Warren Buffett's HIDDEN Stock Market Formula That We Can COPY,30084,1639,49
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=EgCvWBKKPMU,"Pay ZERO Capital Gains Tax on Property Sale (House, Commercial, Land) in 2024",282183,7172,364
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=L226JOIEha8,Capital Gains Tax on Sale of Property ?? Calculation - Budget 2024 Impact Without Indexation Benefit,144636,4330,366
Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,https://www.youtube.com/watch?v=k_av6-1uu_4,New Income Tax Slabs 2024-25 | New Tax Regime vs Old Tax Regime Calculation | Budget 2024 Analysis,499035,9812,475
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=pruy8nIfk7Q,How Mutual Funds are Scamming Common Investors? | Mutual Funds Sahi Nahi Hai!,127110,5563,418
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=jJaar4cuI0s,"Israel ???? Att*ck on Iran ???? Impact on Stock Market, Crude Oil, Bitcoin & Gold",243731,6510,100
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=Cob69bho_Cg,Earn Money in Stock Market Trading using Option Chain | LTP Calculator Reversal Signals,103222,3943,183
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=C3OGmnFHDhE,Option Trading in Nifty Vs Bitcoin | Stock Market & Crypto Market Trading,92138,3574,71
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=oi0GXh06nos,Stock Market Crash or Rise? | Russia Ukraine UK War | Operation Spider Web,142934,4508,54
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=xaKDgTCa5ao,How a 20-Year-Old Stole 4000 Bitcoins Worth $230 Million | The Malone Lam Crypto Heist,331819,8327,186
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=D89hCnQI-oc,"Daily Profit ?25,000 from Crypto Exposed | Africrypt Regular Income Plan",132549,4486,93
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=TAC6YRy3Joo,SCODA Tubes IPO Analysis | New IPO GMP & Details,68901,1953,61
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=oyXPTEQWEsw,How to Start Trading in 2025? | 7 Steps to Make Money in Stock Market / Forex / Crypto Trading,260464,10955,177
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=MgUKYMIw3Eo,Sensex to Gold Ratio | When to Invest Money in Gold & Stock Market,44140,1889,53
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=WB2b4EOYORc,AI 9:20 Trading Setup | How to Earn Money in Stock Market,81546,2959,187
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=Kei7XunVfhk,SIP in Gold Vs SIP in Nifty | Shocking Returns on Investment,92516,3332,82
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=sFqXDwWldTI,Pakistan ???? ?? 4 ?????? ????? ! | Balochistan Declared Independence,94576,3656,115
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=LugrRlZ1ST0,Why Japan Stock Market Didn't Give Returns for 35 Years?,222225,4780,74
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=mnROh_yZCxU,Stock Market Manipulation or Real Bull Run? | India Pakistan & US Market Trading,205909,7290,126
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=qjkFtaOXqGo,How to Earn Money with Bitcoin Trading? | Live Demo,112338,4105,112
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=38lIih78d4U,How to Survive a Nuclear Bomb Attack: India ???? vs Pakistan ????,312220,8153,170
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=RqG61HQDlb8,Operation Sindoor | Is Stock Market Crash Coming?,165341,6521,120
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=bTDlkgAbfSQ,Stock Market Crash Can Make You Rich!,125802,4522,492
Pushkar Raj Thakur: Stock Market Educator ??,UCEAAzv2OBqxsSczKJ2QZyGQ,https://www.youtube.com/watch?v=fKZ2TLksNnA,ETF Mutual Fund ?? ??? !,135964,5299,86
